"Raw Text Data","Redirected URL"
"go home","/home/"
"open tv","/television/"
"open contacts","/mobile/contacts/"
"message","/mobile/message/select-contact/"
"call","/mobile/call/select-contact/"
"mobile","/mobile/"
"home","/home/"
"login","/accounts/login/"
"open contacts","/mobile/contacts/"
"open contacts","/mobile/contacts/"
"open contact manjunath","/mobile/contact/manjunathmanjumb"
"edit contact manjunath","/mobile/contact/edit/manjunathmanjumb"
open contacts,/mobile/contacts/
edit contact manjunath,/mobile/contact/edit/manjunathmanjumb
 edit contact manjunath,/mobile/contact/edit/manjunathmanjumb
edit contact manjunath,/mobile/contact/edit/manjunathmanjumb
 edit contact manjunath edit contact my,/mobile/contact/edit/manjunathmanjumb
edit contact my,/mobile/contact/edit/mymanjumb
call manjunath,/mobile/call/manjunathmanjumb
calling manjunath ambala,/mobile/call/manjunathmanjumb
open mobile,/mobile/
open contacts,/mobile/contacts/
kannada open contact manjunath,/mobile/contact/kannadamanjumb
open contact manjunath,/mobile/contact/manjunathmanjumb
call manjunath,/mobile/call/manjunathmanjumb
call manjunath,/mobile/call/manjunathmanjumb
open tv,/television/
home,/home/
open contacts,/mobile/contacts/
open tv,/television/
call,/mobile/call/select-contact/
go home,/home/
open contacts,/mobile/contacts/
call akhilesh,/mobile/call/akhileshmanjumb
open contacts manjunath,/mobile/contact/manjunathmanjumb
open contact manjunath,/mobile/contact/manjunathmanjumb
open contact a,/mobile/contact/amanjumb
homepage,/home/
open contact manju,/mobile/contacts/manju
home,/home/
open contact manju,/mobile/contacts/manju
open contact manju,/mobile/contacts/manju
home,/home/
create contact,/mobile/contact/add/
call parvati,/mobile/call/parvatimanjumb
go home,/home/
message,/mobile/message/select-contact/
open contact for iti,
open contact bharti,
home,/home/
open contact parvathy,
open contact manju,/mobile/contacts/manju
home,/home/
open contacts,/mobile/contacts/
open contacts parvati,/mobile/contact/parvatimanjumb
home,/home/
open contacts,/mobile/contacts/
open contacts,/mobile/contacts/
open contacts rakesh,/mobile/contact/rakeshmanjumb
 edit contact rakesh,/mobile/contact/edit/rakeshmanjumb
open contact no,
open contacts,/mobile/contacts/
open contact or,/mobile/contact/ormanjumb
create contact,/mobile/contact/add/
open contacts,/mobile/contacts/
open contact akhilesh,/mobile/contacts/akhilesh
open contact akhilesh,/mobile/contacts/akhilesh
open contacts manju,/mobile/contacts/manju
open contacts akhilesh,/mobile/contacts/akhilesh
open contacts manager,
open contact number,
open contact manju,/mobile/contacts/manju
open contact akhilesh,/mobile/contacts/akhilesh
open contacts akhilesh,/mobile/contacts/akhilesh
open mobile,/mobile/
open contacts,/mobile/contacts/
home,/home/
home,/home/
home,/home/
home,/home/
home,/home/
open home,/home/
open mobile,/mobile/
open tv,/television/
open mobile,/mobile/
open contacts,/mobile/contacts/
open home,/home/
open contact,/mobile/contacts/
open mobile,/mobile/
open contact,/mobile/contacts/
open mobile,/mobile/
open mobile,/mobile/
open tv,/television/
call akhilesh,/mobile/call/akhileshAnonymousUser
create contact,/mobile/contact/add/
open home,/home/
open tv,/television/
open tv,/television/
open mobile,/mobile/
open contact,/mobile/contacts/
go to home,/home/
open contacts,/mobile/contacts/
go to home,/home/
go to home,/home/
open mobile,/mobile/
open tv,/television/
open mobile,/mobile/
go to home,/home/
go to home,/home/
open contact,/mobile/contacts/
go to home,/home/
go to home,/home/
open mobile,/mobile/
open contact,/mobile/contacts/
open home,/home/
go to home,/home/
open tv,/television/
go to home,/home/
open contact,/mobile/contacts/
open mobile,/mobile/
open tv,/television/
open tv,/television/
open mobile,/mobile/
open home,/home/
go to home,/home/
open tv,/television/
open mobile,/mobile/
open mobile,/mobile/
open tv,/television/
open home,/home/
open tv,/television/
open tv,/television/
go to home,/home/
open mobile,/mobile/
open contact,/mobile/contacts/
open contact,/mobile/contacts/
open tv,/television/
open contact,/mobile/contacts/
go to home,/home/
call akhilesh,/mobile/call/akhileshAnonymousUser
call function mein jao,/mobile/call/functionAnonymousUser
call akhilesh,/mobile/call/akhileshAnonymousUser
open contact,/mobile/contacts/
open tv,/television/
open tv,/television/
add remote,/television/brands/
select remote,/television/brands/
remote,/television/brands/
open tv,/television/
open home,/home/
open tv,/television/
add remote,/television/brands/
open home,/home/
open tv,/television/
open home,/home/
show sony,/television/sony-tvremote-models
show sony,/television/sony-tv/remote-models
show samsung,/television/samsung-tv/remote-models
mobile,/mobile/
open tv,/television/
go to home,/home/
show sony,/television/sony-tv/remote-models
show lg,/television/lg-tv/remote-models
show samsung,/television/samsung-tv/remote-models
add remote,/television/brands/
show lg,/television/lg-tv/remote-models
show panasonic,/television/panasonic-tv/remote-models
open mobile,/mobile/
call akhilesh,/mobile/call/akhileshAnonymousUser
